Respondent's ID,Gender,Age Group,Highest Qualifications,Employment Status,Income Level,Country,Q1,Q2a,Q2b,Q2c,Q2d,Q2e,Q3a,Q3b,Q3c,Q3d,Q3e,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6a,Q6b,Q6c,Q6d,Q6e
13,Female,35-40,Degree,Un-employed,Less than $20K,United States,Referred by a friend,Yes,No,No,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly dissatisfied,Dissatisfied,Highly satisfied,Dissatisfied,Neutral,Satisfied,Neutral,Highly dissatisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,7,8,10,10
14,Male,21-24,Diploma,Employed,$45K-$139K,Ukraine,Newsletter,Yes,No,No,Yes,No,Satisfied,Neutral,Neutral,Highly satisfied,Dissatisfied,Dissatisfied,Highly satisfied,Neutral,Highly dissatisfied,Dissatisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,3,9,9,7,10
15,Female,21-24,Certificate,Self-employed,Less than $20K,Albania,Website,Yes,No,Yes,Yes,No,Neutral,Satisfied,Dissatisfied,Highly dissatisfied,Highly dissatisfied,Dissatisfied,Neutral,Highly dissatisfied,Highly dissatisfied,Highly satisfied,Highly satisfied,Neutral,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,10,9,8,9,10
16,Male,25-30,Diploma,Student,Less than $20K,Belarus,Facebook,Yes,No,Yes,Yes,Yes,Highly dissatisfied,Highly satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Highly satisfied,Dissatisfied,Highly satisfied,Highly dissatisfied,Satisfied,Highly dissatisfied,,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,10,8,9,7
17,Male,41+,Certificate,Employed,Less than $20K,Australia,Website,Yes,No,Yes,Yes,No,Highly dissatisfied,Dissatisfied,Highly satisfied,Satisfied,Satisfied,Highly dissatisfied,Highly dissatisfied,Satisfied,Neutral,Neutral,Highly dissatisfied,Highly dissatisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,8,9,10
18,Female,41+,Degree,Self-employed,Less than $20K,Canada,Website,Yes,Yes,Yes,Yes,No,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Highly satisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Highly dissatisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,10,7,8,9,10
19,Female,21-24,Certificate,Student,Less than $20K,United States,Facebook,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly dissatisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Neutral,Highly satisfied,Highly satisfied,Dissatisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,9,9,7,10
20,Female,15-20,PHD,Self-employed,Less than $20K,Sweden,Through Ads,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Highly satisfied,Highly dissatisfied,Dissatisfied,Dissatisfied,Highly satisfied,Highly satisfied,Neutral,Dissatisfied,Highly dissatisfied,Highly dissatisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,8,8,9,7
21,Female,31-34,Master's Degree,Student,Less than $20K,Malawi,Facebook,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Highly dissatisfied,Highly dissatisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,9,9,9,8
22,Female,35-40,Degree,Student,Less than $20K,United States,Through Ads,Yes,Yes,Yes,Yes,No,Satisfied,Highly dissatisfied,Dissatisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,9,8,9,8
23,Male,35-40,Master's Degree,Employed,$20k-$44K,Australia,Newsletter,Yes,Yes,Yes,Yes,No,Satisfied,Highly satisfied,Satisfied,Dissatisfied,Highly dissatisfied,Dissatisfied,Highly satisfied,Dissatisfied,Neutral,Highly dissatisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,7,8,8,9,10
24,Female,35-40,PHD,Self-employed,Less than $20K,Switzerland,Facebook,Yes,Yes,Yes,Yes,No,Highly satisfied,Neutral,Highly satisfied,Highly dissatisfied,Neutral,Highly satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Highly satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,9,8,9,10
25,Female,41+,Diploma,Self-employed,Less than $20K,United States,Website,Yes,Yes,Yes,Yes,No,Satisfied,Neutral,Satisfied,Highly dissatisfied,Highly dissatisfied,Dissatisfied,Satisfied,Highly satisfied,Dissatisfied,Dissatisfied,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,9,8,9,10
26,Male,35-40,PHD,Student,Less than $20K,Bangladesh,Through Ads,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Neutral,Neutral,Highly satisfied,Neutral,Highly dissatisfied,Dissatisfied,Neutral,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,8,7,10
27,Female,15-20,Diploma,Self-employed,Less than $20K,India,Website,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Neutral,Highly satisfied,Neutral,Dissatisfied,Highly satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,7,9,7,9,9
28,Female,35-40,Degree,Student,Less than $20K,Sweden,Referred by a friend,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Neutral,Highly dissatisfied,Satisfied,Dissatisfied,Highly satisfied,Highly dissatisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,8,10,10
29,Male,25-30,Master's Degree,Employed,Less than $20K,Pakistan,Through Ads,Yes,Yes,Yes,Yes,No,Neutral,Highly dissatisfied,Highly satisfied,Neutral,Highly satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,9,8,9,10
30,Female,31-34,Diploma,Student,Less than $20K,Philippines,LinkedIn,Yes,Yes,Yes,Yes,No,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Neutral,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,9,9,7,9
31,Female,31-34,Degree,Self-employed,Less than $20K,Australia,LinkedIn,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly dissatisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Highly dissatisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,9,10,9,10
32,Female,25-30,Certificate,Employed,$20k-$44K,Iran,Facebook,Yes,Yes,Yes,Yes,No,Satisfied,Highly satisfied,Neutral,Highly satisfied,Dissatisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Satisfied,,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,8,8,9,10
33,Female,25-30,Certificate,Student,Less than $20K,Poland,Through Ads,Yes,Yes,Yes,Yes,No,Neutral,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,8,9,8
34,Female,25-30,Certificate,Self-employed,$150K-$199K,Jamaica,Website,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Highly dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Highly satisfied,Highly dissatisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,9,8,10,10
35,Female,41+,Diploma,Student,Less than $20K,France,Newsletter,Yes,Yes,Yes,Yes,No,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Dissatisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,7,9,8,3,10
36,Female,15-20,Certificate,Student,Less than $20K,Peru,Through Ads,Yes,Yes,Yes,Yes,No,Neutral,Satisfied,Neutral,Highly satisfied,Highly dissatisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Dissatisfied,Satisfied,Satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,9,9,10,7,10
37,Male,25-30,Diploma,Employed,Less than $20K,United States,LinkedIn,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,9,7,9,10
38,Female,25-30,Diploma,Student,Less than $20K,Indonesia,Referred by a friend,Yes,Yes,Yes,Yes,No,Satisfied,Neutral,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Highly dissatisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,,Normal class discussions,,9,10,10,1,10
39,Male,35-40,Certificate,Self-employed,$45K-$139K,Thailand,Through Ads,Yes,Yes,Yes,Yes,No,Highly satisfied,Satisfied,Highly satisfied,Dissatisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,9,9,7,3,10
40,Female,25-30,Diploma,Self-employed,$20k-$44K,Russia,LinkedIn,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,8,9,10
41,Female,25-30,Certificate,Employed,Less than $20K,Libya,Newsletter,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,,Normal class discussions,,9,9,8,7,7
42,Female,21-24,PHD,Un-employed,Less than $20K,Czech Republic,Facebook,Yes,Yes,Yes,Yes,No,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly dissatisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,9,8,9,10
43,Male,21-24,Diploma,Employed,$150K-$199K,United States,Website,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Neutral,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,8,8,10
44,Male,41+,Master's Degree,Self-employed,Less than $20K,Madagascar,Facebook,Yes,Yes,Yes,Yes,No,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,,Tableau project examples,,,7,9,10,9,10
45,Female,15-20,Certificate,Employed,$45K-$139K,Ireland,Referred by a friend,Yes,Yes,Yes,Yes,No,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,8,10,10
46,Male,35-40,Degree,Self-employed,Less than $20K,Netherlands,Website,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Satisfied,Dissatisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Quizzes & Solutions,,,Tableau project examples,,,9,9,8,9,10
47,Male,25-30,Certificate,Student,Less than $20K,India,Website,Yes,Yes,Yes,Yes,No,Highly satisfied,Satisfied,Highly satisfied,Dissatisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,,,Weekly online calls,Tableau project examples,,Trainer's feedback through comments,8,9,8,10,9
48,Female,15-20,Diploma,Self-employed,$20k-$44K,United States,Facebook,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,,Normal class discussions,,9,9,8,10,8
49,Female,41+,Degree,Self-employed,$45K-$139K,Thailand,Newsletter,Yes,Yes,Yes,Yes,No,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,10,9,8,10,10
50,Female,35-40,Degree,Student,Less than $20K,United States,Referred by a friend,Yes,Yes,Yes,Yes,No,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,8,1,10,10
51,Female,25-30,Degree,Un-employed,Less than $20K,India,Referred by a friend,Yes,Yes,Yes,Yes,No,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,9,2,8,7
52,Female,25-30,Degree,Un-employed,Less than $20K,Iceland,Newsletter,Yes,Yes,Yes,Yes,No,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Neutral,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,10,8,10
53,Male,25-30,Certificate,Employed,Less than $20K,Ukraine,LinkedIn,Yes,Yes,Yes,Yes,No,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,7,10,10,10
54,Male,21-24,Certificate,Un-employed,Less than $20K,Japan,LinkedIn,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,9,10,8,10
55,Female,41+,Degree,Student,Less than $20K,India,Facebook,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,10,9,10
56,Female,21-24,Certificate,Student,Less than $20K,United Kingdom,LinkedIn,Yes,Yes,Yes,Yes,No,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Neutral,Satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,9,7,10,10
57,Female,41+,Certificate,Student,Less than $20K,United Kingdom,Facebook,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,7,8,10
58,Female,35-40,Certificate,Self-employed,$20k-$44K,United Kingdom,Through Ads,Yes,No,Yes,Yes,No,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,9,10,10
59,Female,31-34,Degree,Employed,Less than $20K,United Kingdom,LinkedIn,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,9,10,10
60,Female,35-40,Degree,Student,Less than $20K,United States,Through Ads,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Dissatisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,10,9,10,9
61,Female,35-40,Master's Degree,Self-employed,$20k-$44K,Greece,Newsletter,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,,,Weekly online calls,Tableau project examples,Normal class discussions,,7,9,10,10,8
62,Female,35-40,PHD,Un-employed,Less than $20K,United States,Facebook,Yes,No,Yes,Yes,No,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,9,10,10,10
63,Male,25-30,Certificate,Employed,Less than $20K,Burundi,Referred by a friend,Yes,No,Yes,Yes,No,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,10,7,9,10
64,Female,31-34,Degree,Student,Less than $20K,Mongolia,Referred by a friend,Yes,Yes,Yes,Yes,No,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Neutral,Satisfied,,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,1,9,10,9
65,Male,41+,Certificate,Self-employed,$20k-$44K,Poland,Through Ads,Yes,No,Yes,Yes,Yes,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,4,10,10,9
66,Female,35-40,Master's Degree,Un-employed,Less than $20K,United States,Newsletter,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Neutral,Neutral,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,9,5,10,10,10
67,Female,21-24,Master's Degree,Student,Less than $20K,United States,Newsletter,Yes,No,Yes,Yes,Yes,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,9,7,8,7,10
68,Male,21-24,Master's Degree,Self-employed,Less than $20K,Sweden,Website,Yes,No,Yes,Yes,Yes,Satisfied,Highly satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,7,8,10,10
69,Female,25-30,Master's Degree,Un-employed,Less than $20K,Malaysia,Facebook,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,5,10,9,10
70,Male,41+,Master's Degree,Self-employed,$20k-$44K,Brazil,LinkedIn,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Highly satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Neutral,Satisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,8,10,10,10
71,Male,25-30,PHD,Employed,Less than $20K,India,Referred by a friend,Yes,No,Yes,Yes,Yes,Highly satisfied,Highly satisfied,Neutral,Highly satisfied,Satisfied,Satisfied,Satisfied,Highly satisfied,Satisfied,Satisfied,Neutral,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,9,9,8,10,10
72,Female,41+,Diploma,Employed,Less than $20K,Canada,Website,Yes,Yes,Yes,Yes,Yes,Highly satisfied,Satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,9,2,10,10,10
